Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w,Background_Flux_f125w,Corrected_Flux_f125w,Raw_Flux_f160w,Background_Flux_f160w,Corrected_Flux_f160w,Raw_Flux_f275w,Background_Flux_f275w,Corrected_Flux_f275w,Raw_Flux_f435w,Background_Flux_f435w,Corrected_Flux_f435w,Raw_Flux_f606w,Background_Flux_f606w,Corrected_Flux_f606w,Raw_Flux_f775w,Background_Flux_f775w,Corrected_Flux_f775w,Raw_Flux_f850lp,Background_Flux_f850lp,Corrected_Flux_f850lp,Raw_Flux_f140w,Background_Flux_f140w,Corrected_Flux_f140w
0,goodss,18,2.658,53.103527,-27.9564824,4.078,1,4.36188605995159,0.2239421104123902,0.333196,53.10360891122155,-27.9565123536194,0.8146758613613884,0.46733950896892457,0.3473363523924638,1.0129059715738404,0.5673998023771065,0.4455061691967339,0.0,0.0,0.0,0.10404968153817477,0.04340696532770508,0.060642716210469697,0.5253556816890782,0.2431883479555179,0.2821673337335603,0.4721773721719169,0.23640723340875955,0.23577013876315736,0.20179362682789015,0.05899061114727606,0.1428030156806141,,,
1,goodss,18,2.658,53.103527,-27.9564824,4.078,2,6.2061300340872645,0.1209827158422797,0.333196,53.10357119485734,-27.95639568252427,0.6705221131965176,0.411501941469988,0.2590201717265296,0.6626273655208856,0.5640437101913207,0.09858365532956492,0.0,0.0,0.0,0.09347453038682807,0.0308783492242388,0.06259618116258928,0.5216316148702707,0.20136048482703076,0.3202711300432399,0.3138506747158867,0.1405444205828015,0.17330625413308517,0.15738138705635596,0.08893615729400946,0.0684452297623465,,,
2,goodss,31,2.667,53.1038264,-27.9540187,3.839,1,0.720425221657321,0.4060885904609875,0.539943,53.10383576900185,-27.954012401569592,1.8178897833508993,0.5848048242548957,1.2330849590960038,2.0774673539572217,0.6269448725890938,1.450522481368128,-0.0009932948661352783,-0.0026035084059318377,0.0016102135397965593,0.35710550968228466,0.11722867608564284,0.2398768335966418,1.3135203814966658,0.4448386231258012,0.8686817583708646,0.7857586356389271,0.24971119814795031,0.5360474374909768,0.40297780075626843,0.13030819057434898,0.2726696101819195,8.964567933745868e-19,1.4403587185533908e-17,-1.3507130392159321e-17
3,goodss,31,2.667,53.1038264,-27.9540187,3.839,2,6.838421784300818,0.1004407746123745,0.539943,53.10377918230918,-27.95391239448093,0.7801339827653396,0.23517336210131584,0.5449606206640238,0.7707655769772092,0.2515094735521341,0.5192561034250751,-0.0035223215771623723,-0.005554701066991855,0.002032379489829483,0.22429117275693938,0.05278986429354639,0.171501308463393,0.8595596971415828,0.22214884070818752,0.6374108564333952,0.4570607979005465,0.13880207016675433,0.31825872773379216,0.2022666047279576,0.052623542444940094,0.1496430622830175,2.0411038790699788e-10,-1.536948505889508e-08,1.557359544680208e-08
4,goodss,40,1.056,53.0882628,-27.954256,7.522,1,13.107480688522871,0.0100982125343237,1.37345,53.08802423564937,-27.9543260013419,1.2393948383763866,1.2235048448076147,0.015889993568771965,1.0145084130557251,1.0390002123977384,-0.024491799342013287,0.02328016621039017,0.01217003829054885,0.011110127919841319,0.1979776221515537,0.14053221534171986,0.05744540680983384,0.7719356484515758,0.5284342871158998,0.24350136133567601,0.2280520242133551,0.2654810879222728,-0.037429063708917715,0.26402910328079554,0.21357567752558343,0.05045342575521211,,,
5,goodss,40,1.056,53.0882628,-27.954256,7.522,2,5.926723378056377,0.0481234096399573,1.37345,53.08836389331826,-27.954226086836297,5.471208059648405,3.309839299771631,2.1613687598767743,4.962929773132168,3.1771971320668517,1.7857326410653163,0.0321897498332587,0.015396561894440414,0.016793187938818288,0.38792997926237177,0.21953892330959524,0.16839105595277654,1.417629534085486,0.8112078658123466,0.6064216682731395,1.3434979005425296,0.7974281506527915,0.5460697498897381,1.07585840687001,0.6426997055503668,0.4331587013196433,,,
6,goodss,40,1.056,53.0882628,-27.954256,7.522,3,3.104198769408944,0.05578909133153,1.37345,53.08821295388464,-27.95420938268824,5.414175558689946,3.658167705771842,1.756007852918104,5.218945291536041,3.5646127258230633,1.654332565712978,0.028238411472327096,0.026381231172107427,0.0018571803002196685,0.44371695989838983,0.24741722737616675,0.19629973252222307,1.3835710447576248,0.8250429154168214,0.5585281293408034,1.1292416593107988,0.7361979279405043,0.39304373137029447,0.8878096216538187,0.5873119541862619,0.3004976674675568,,,
7,goodss,40,1.056,53.0882628,-27.954256,7.522,4,11.02433898245151,0.022764433839054,1.37345,53.0880620198265,-27.954176011821463,1.3289288661553023,0.9439856314747098,0.38494323468059244,1.2007650846682272,0.7928040533067897,0.40796103136143747,0.01661725691586738,0.014167434757365323,0.002449822158502056,0.1966286339052214,0.11861742556634934,0.07801120833887205,0.5319129749322747,0.43789110898196276,0.09402186595031198,0.34058005865896956,0.2832072325600814,0.05737282609888816,0.2437914640884521,0.17437424675952795,0.06941721732892414,,,
8,goodss,40,1.056,53.0882628,-27.954256,7.522,5,14.242754298238808,0.0270188963235222,1.37345,53.088420550331165,-27.954059435349464,1.6080165694401964,1.1142521304218322,0.4937644390183642,1.2405765021917559,0.9622698572365629,0.27830664495519297,0.020287531494805767,0.008178022358395822,0.012109509136409945,0.20361028065238798,0.1176267666254983,0.08598351402688968,0.6002469209322133,0.36039180456900594,0.2398551163632074,0.4542251339038515,0.32617904595078856,0.12804608795306294,0.3188496322753983,0.2310807594318221,0.0877688728435762,,,
9,goodss,49,2.01,53.0906011,-27.9524238,4.831,1,7.318607278710889,0.0707577599179088,0.330353,53.09072291167595,-27.952509997611816,0.4350501634259618,0.43784819977183287,-0.0027980363458710578,0.4763068492086426,0.5412896890890356,-0.06498283988039305,-0.004877759442673612,-0.01190337102641151,0.007025611583737898,0.1079932115426177,0.0679956737269626,0.03999753781565511,0.2848614785598091,0.20242859560998228,0.08243288294982681,0.15810239249700286,0.11908696583395295,0.03901542666304991,0.08302541421194372,0.059983475675749215,0.023041938536194503,,,
