Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation,Uncertainty_275_mjy,Uncertainty_435_mjy,Uncertainty_606_mjy,Uncertainty_775_mjy,Uncertainty_850_mjy,Uncertainty_125_mjy,Uncertainty_140_mjy,Uncertainty_160_mjy
478,goodss,2361,1.711,53.2111908,-27.8936461,7.307,3,4.625809388636758,0.2086268523455552,1.3908,53.211145759929416,-27.89358575353828,0.4615344848826751,0.28969833338553813,0.25775422724570546,0.4025717170477066,0.2783795372730611,0.1862882696619683,-0.008084649946180984,-0.011431663603919432,0.0050205204866076705,0.15348802450730265,0.08496071251275188,0.10279096799182619,0.21542922070147477,0.11408984771206515,0.1520090594841144,0.2302707982252847,0.13299209509670956,0.14591805469286273,0.2647154747129927,0.15145895022743264,0.16988478672834015,0.47478621994668574,0.31265162283646336,0.24320189566533348,G,H,2361,,53.211189,-27.893646,1,22.712,0.02,0.275,0.006,0.833,0.056,0.637,0.017,52.9,1.3,102.23,0,2,74225,130,3,0.005738440905986819,0.0002477047798231473,0.0004910835317195622,0.0007612552285441469,0.0006233817717907509,0.00036952701618566823,0.002081164228534761,0.005584081094664975,0.002111220778063844
479,goodss,2368,2.987,53.1365666,-27.8932046,3.892,1,5.750286949361745,0.0176633810678925,0.333153,53.13650755024882,-27.89327993182201,0.07819513996358612,0.024016822073033312,0.08126747683582923,0.101484900317516,0.04198331129502292,0.08925238353373961,-0.00981345560350056,-0.010506623514211187,0.00103975186606594,0.006355038712687352,0.0016629422675885138,0.007038144667648257,0.029418618181383662,0.010790963513424318,0.02794148200193902,0.0471057287815115,0.01450949445967303,0.04889435148275771,0.05197687838851871,0.020901421492144977,0.046613185344560604,0.09595103575001054,0.03236881019509138,0.09537333833237874,G,H,2368,,53.136566,-27.893204,0,23.966,0.062,0.238,0.015,0.621,0.199,0.933,0.054,78.0,4.3,32.35,0,1,74232,131,2,0.0028827219337654877,0.00031692973869138505,0.0005578833052933531,0.0007051498221742309,0.0008563935987245079,0.0003484471070220612,0.0020829419759871236,0.00528739476570585,0.0021200306700691045
480,goodss,2368,2.987,53.1365666,-27.8932046,3.892,2,1.750942603285442,0.520626746975929,0.333153,53.13660182714029,-27.89319658927932,0.15820742060760673,0.04598426106302021,0.16833473931687976,0.1938150020079169,0.06283363283905273,0.19647205375329627,0.0031293503666376785,-0.011232850087661457,0.0215433006814487,0.028965054147356804,0.006998329169532881,0.03295008746673588,0.08585548526472737,0.024304855269668493,0.09232594499258832,0.11863103984257985,0.032386520325080444,0.12936677927624915,0.12944810659942926,0.038840491885737564,0.13591142207053755,0.17543912604285045,0.05525086321323927,0.18028239424441675,G,H,2368,,53.136566,-27.893204,0,23.966,0.062,0.238,0.015,0.621,0.199,0.933,0.054,78.0,4.3,32.35,0,1,74232,131,2,0.0028827219337654877,0.00033395722853033687,0.0005613711067843124,0.0007092384168518167,0.0008608551678982445,0.00035199747379177106,0.00208729295611932,0.005386014968852788,0.0021343825541949757
481,goodss,2373,2.518,53.1245947,-27.8932453,5.618,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,G,H,2373,,53.124596,-27.893246,0,23.322,0.085,0.62,0.058,1.034,0.241,0.649,0.041,62.3,3.5,31.45,0,0,74237,,,0.004843472163984732,,,,,,,,
482,goodss,2385,2.262,53.0778266,-27.8931093,3.902,1,1.2688774566521377,0.3376095900023518,0.223826,53.07780421304576,-27.89310665895397,0.2068610189556561,0.07289530210695656,0.20094857527304927,0.4164109607145007,0.14668992688744228,0.40458155074058755,0.00047791998854212385,-0.0011850323919384432,0.0024944285707208507,0.02279017306220677,0.010738529305371104,0.018077465635253497,0.04758927697156828,0.01918653324641287,0.04260411558773311,0.06341906677600699,0.024234940730538033,0.058776189068203435,0.09215782931320747,0.03387929120639227,0.0874178071602228,0.3232376079924942,0.1130881723706099,0.31522415343282634,G,H,2385,,53.077827,-27.893108,0,23.31,0.053,0.212,0.016,2.136,0.347,0.888,0.046,45.6,4.1,53.2,0,1,74249,,,0.004849966412866044,0.00035649012542546775,0.0005525508630437749,0.0009313236947005622,0.0009558436661149414,0.00041332895247356657,0.0023539080709306815,0.005325013623793606,0.0022254241835132868
483,goodss,2396,1.778,53.0699776,-27.8926647,2.917,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,G,H,2396,,53.069977,-27.892664,2,23.614,0.177,0.405,0.12,8.0,2.838,0.524,0.101,57.7,9.1,23.76,0,1,74260,,,0.0031614746756549136,,,,,,,,
484,goodss,2415,1.903,53.258527,-27.8930862,7.211,1,11.72119927737772,0.0521702109164682,0.409425,53.25874141837125,-27.89303055331394,0.047668790261430755,0.03342097962342265,0.02137171595701216,0.052031854113753245,0.04725956787000103,0.00715842936562832,-0.0015838739984885316,-0.004694651293021153,0.004666165941798933,0.013576734595543328,0.004127237204643716,0.01417424608634942,0.01855843836691257,0.009918248424422899,0.012960284913734507,0.021401655001178445,0.011458066685594234,0.014915382473376319,0.023277839592551978,0.015122898737996153,0.012232411281833735,,,,G,H,2415,,53.258526,-27.893085,0,22.777,0.035,0.497,0.016,0.577,0.076,0.92,0.02,35.1,1.5,60.67,0,3,74279,132,5,0.005365258025232126,0.0003322630586023251,0.0005994929320726806,0.0014645772154396627,0.0011716266583101638,0.00022996230244123818,0.0021616858356526387,,0.0020698124218612754
485,goodss,2415,1.903,53.258527,-27.8930862,7.211,2,12.727981477830646,0.052333472274375,0.409425,53.2587035992752,-27.892947257401627,0.04841733984645989,0.03276693244124045,0.023475611107829166,0.052492098075067536,0.05079207172856302,0.0025500395197567815,0.00843124907772526,-0.0017535071316859118,0.015277134314116756,0.014450815404903805,0.005909470706355159,0.012812017047822968,0.02338524889744439,0.013317014559505026,0.015102351506909046,0.021214567612378398,0.012415916996950953,0.013197975923141165,0.027254588769271896,0.016197839842291565,0.0165851233904705,,,,G,H,2415,,53.258526,-27.893085,0,22.777,0.035,0.497,0.016,0.577,0.076,0.92,0.02,35.1,1.5,60.67,0,3,74279,132,5,0.005365258025232126,0.00034970963219183845,0.0005925178623051074,0.0014368141759755432,0.0011432584590992264,0.00023552411853396992,0.002186476938907176,,0.002136345102580948
486,goodss,2415,1.903,53.258527,-27.8930862,7.211,3,10.406080554176006,0.2523425151545381,0.409425,53.25847729019554,-27.89293081264296,0.12011881170440945,0.0621366412900635,0.08697325562151896,0.141730535133447,0.08792323060631405,0.08071095679069942,-0.0017944807862913213,-0.010966061971229922,0.013757371777407903,0.05483780505960537,0.016501158159947384,0.057504970349486983,0.06719818452728511,0.02580109309630732,0.06209563714646668,0.070285301655643,0.0264054214178449,0.06581982035669716,0.07823348053974599,0.0354412644496498,0.0641883241351443,,,,G,H,2415,,53.258526,-27.893085,0,22.777,0.035,0.497,0.016,0.577,0.076,0.92,0.02,35.1,1.5,60.67,0,3,74279,132,5,0.005365258025232126,0.00033466567773908647,0.0005866798757178584,0.0014513704082165667,0.0011522791556801907,0.00023075277937999913,0.0021519468565328096,,0.002142689614487559
487,goodss,2415,1.903,53.258527,-27.8930862,7.211,4,15.846182899992035,0.0616682499421,0.409425,53.25862867051536,-27.89334732939484,0.0705931758193044,0.022343254152935723,0.07237488249955301,0.08803094495210755,0.02256867755978246,0.09819340108848763,-0.009020755504780695,-0.011189063274049954,0.0032524616539038854,0.01760022062027268,0.0026650479693251317,0.02240275897642132,0.019051084279405744,0.005354236201799811,0.0205452721164089,0.0215194102375576,0.006287664998346777,0.022847617858816234,0.03385025334298433,0.013887663845150944,0.029943884246750083,,,,G,H,2415,,53.258526,-27.893085,0,22.777,0.035,0.497,0.016,0.577,0.076,0.92,0.02,35.1,1.5,60.67,0,3,74279,132,5,0.005365258025232126,0.00036802873217241076,0.000587653954042917,0.0014610012865903061,0.001155800384397808,0.00023113590968071844,0.0022132215409416877,,0.0020487802782778288
