Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux,Background_Flux,Corrected_Flux
2529,goodss,16746,1.221,53.0419972,-27.7696788,8.474,3,14.789470916838102,0.0571449669611704,0.748732,53.042273912003374,-27.769757363771912,0.15399376693151126,0.0890037336419083,0.06499003328960296
2530,goodss,16746,1.221,53.0419972,-27.7696788,8.474,4,1.989585383943094,0.0732143454244838,0.748732,53.04197259729816,-27.76967385569628,0.206165688142696,0.08081173926434394,0.12535394887835205
2531,goodss,16746,1.221,53.0419972,-27.7696788,8.474,5,8.13501382912162,0.0274400105527157,0.748732,53.04214215861332,-27.769623954182588,0.10166999405064125,0.08431849020862074,0.017351503842020513
2532,goodss,16746,1.221,53.0419972,-27.7696788,8.474,6,15.359962565058543,0.0377168932739591,0.748732,53.04178434879005,-27.769523746266973,0.10532368837034037,0.0627406822493562,0.042583006120984174
2533,goodss,16746,1.221,53.0419972,-27.7696788,8.474,7,16.26863393158749,0.0175384030787135,0.748732,53.04193511114482,-27.769423834090254,0.081613416526655,0.04959834273331785,0.03201507379333716
2534,goodss,16754,1.221,53.0824874,-27.7694467,7.57,1,5.105022037170847,0.0858620263376714,0.257455,53.08243253125485,-27.769374815965428,0.0827323878464732,0.03671390199900128,0.046018485847471924
2535,goodss,16754,1.221,53.0824874,-27.7694467,7.57,2,12.621856044179877,0.1990363162889429,0.257455,53.08265848331437,-27.769591547926648,0.14858171599810074,0.07168552370641769,0.07689619229168305
2536,goodss,16754,1.221,53.0824874,-27.7694467,7.57,3,8.447558818972498,0.2307966247426094,0.257455,53.08254547326133,-27.76957484861883,0.16442667616020973,0.0638462558415748,0.10058042031863493
2537,goodss,16756,2.804,53.2308581,-27.7684551,3.298,1,0.7937568897338775,0.8253039368831362,0.217389,53.23085927827956,-27.768471951932845,0.0,0.0,0.0
2538,goodss,16777,1.7245,53.0953104,-27.7686668,4.783,1,1.0433659473070782,0.6309875668053355,0.370237,53.0952788654025,-27.768661282494666,0.5913308527103739,0.19186290961431152,0.3994679430960624
2539,goodss,16832,1.952,53.1845437,-27.7682155,5.357,1,7.528154654362515,0.4108984971276963,0.0766696,53.18448528272848,-27.768116953919854,0.07143882211244793,0.027235569142111712,0.04420325297033621
2540,goodss,16844,2.33342,53.0453957,-27.7681624,5.521,1,4.949546696415744,0.4081185980465392,0.580895,53.04536410277173,-27.76824245321936,0.32662046910295006,0.16910837215501023,0.15751209694793983
2541,goodss,16844,2.33342,53.0453957,-27.7681624,5.521,2,3.203593685222893,0.1443779937552515,0.580895,53.04532649057609,-27.76815909899938,0.14344543742608232,0.20735626891991832,-0.063910831493836
2542,goodss,16844,2.33342,53.0453957,-27.7681624,5.521,3,2.1640269175775058,0.1421848106989461,0.580895,53.04542068126361,-27.768142484783677,0.11289627323860461,0.1883141282731177,-0.07541785503451308
2543,goodss,16854,1.03908,53.0433691,-27.7680269,5.169,1,2.0789450449687226,0.5967956667275977,0.603644,53.04332999693285,-27.76802463924337,0.8773833433883552,0.3145135640617843,0.5628697793265709
2544,goodss,16864,2.229,53.0540498,-27.7676272,3.979,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,
2545,goodss,16865,1.109,53.1169972,-27.7683486,5.378,1,7.18373510090677,0.2937968852427354,0.110149,53.11692131540124,-27.76826387544366,0.09265858431002341,0.03750769149468012,0.05515089281534329
2546,goodss,16905,1.5368,53.0656058,-27.7678661,7.977,1,3.1267575057877464,0.390397522280875,0.457664,53.0656504570939,-27.76785226834457,0.4801291700054141,0.16652312679313216,0.3136060432122819
2547,goodss,16905,1.5368,53.0656058,-27.7678661,7.977,2,7.290858145650617,0.065413886691523,0.457664,53.06548096190207,-27.767802198631934,0.10455092597332012,0.061843464633396406,0.042707461339923716
2548,goodss,16907,2.584,53.0733994,-27.7675065,6.539,1,11.35281958369814,0.0806964539581195,0.370571,53.07361812117495,-27.76752198016991,0.047029525671735,0.015109326761100848,0.03192019891063415
2549,goodss,16907,2.584,53.0733994,-27.7675065,6.539,2,1.688642206034185,0.4032378423207556,0.370571,53.07337325741828,-27.767521893393592,0.2024110415472572,0.09253708241475282,0.10987395913250438
2550,goodss,16907,2.584,53.0733994,-27.7675065,6.539,3,8.729634156137358,0.3450272992265031,0.370571,53.07327912456926,-27.7674218599636,0.23345637128878816,0.07916924230368813,0.15428712898510002
2551,goodss,16934,1.552,53.1655647,-27.7697908,13.191,1,27.82770224973668,0.0133920157239585,0.331583,53.16574451673224,-27.7702240139037,0.012721172397735006,0.0025762823246585293,0.010144890073076476
2552,goodss,16934,1.552,53.1655647,-27.7697908,13.191,2,9.24640538263384,0.1190468148132165,0.331583,53.165386446908485,-27.769757457700653,0.12003255707206369,0.0529013173504952,0.06713123972156848
2553,goodss,16934,1.552,53.1655647,-27.7697908,13.191,3,16.184746290875246,0.0723501401698227,0.331583,53.16527340444007,-27.769690825688883,0.07674211307382327,0.03792669237396843,0.03881542069985484
2554,goodss,16934,1.552,53.1655647,-27.7697908,13.191,4,15.839855191888594,0.2810827174658544,0.331583,53.16546170601842,-27.76954076799971,0.219864711214976,0.050081386740982975,0.16978332447399302
2555,goodss,16934,1.552,53.1655647,-27.7697908,13.191,5,21.99104391564893,0.0375026045179253,0.331583,53.16587629038582,-27.77002397314313,0.04430473365867735,0.02048739665487939,0.02381733700379796
2556,goodss,16934,1.552,53.1655647,-27.7697908,13.191,6,9.9685010156994,0.0283134746828246,0.331583,53.16566905368476,-27.76992403732758,0.03595485921353715,0.019374681750912205,0.016580177462624947
2557,goodss,16969,1.225,53.1004643,-27.7675939,6.977,1,11.939498000334858,0.0885187775687977,0.662374,53.10062844201762,-27.767745570528284,0.2032519581930528,0.07507141191069842,0.12818054628235437
2558,goodss,16969,1.225,53.1004643,-27.7675939,6.977,2,2.617558499823831,0.1530527515248714,0.662374,53.100421279891165,-27.767595537440297,0.3648584868134601,0.2188462950084374,0.1460121918050227
2559,goodss,16969,1.225,53.1004643,-27.7675939,6.977,3,11.03184538053358,0.01029139487769,0.662374,53.10066615410222,-27.76754557657963,0.07142422375618365,0.053630911288424454,0.017793312467759198
