Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation
0,goodss,18,2.658,53.103527,-27.9564824,4.078,1,4.36188605995159,0.2239421104123902,0.333196,53.10360891122155,-27.9565123536194,0.09376711762315816,0.053789587717553995,0.059966294858406245,0.15248259148762378,0.08541621305675035,0.10059956764631015,0.0,0.0,0.0,0.02012207912557216,0.00839443598424082,0.01759146471199701,0.048305891896486305,0.022360907963432316,0.038917475899580986,0.09177211321485004,0.045947969273998426,0.06873621591127743,0.08470919630420777,0.024763156984660428,0.08991905897932101,,,,G,H,18,,53.103523,-27.956482,0,23.55,0.073,0.319,0.024,0.612,0.193,0.569,0.053,-40.3,4.0,27.3,0,0,71882,1,2,0.012800828997763926
1,goodss,18,2.658,53.103527,-27.9564824,4.078,2,6.2061300340872645,0.1209827158422797,0.333196,53.10357119485734,-27.95639568252427,0.07717538819575118,0.04736282585030583,0.04471884351816801,0.09975174470080524,0.08491098784240975,0.02226113528759321,0.0,0.0,0.0,0.018076959666830063,0.0059715376073680585,0.018158133089193007,0.04796346794050925,0.018514880776315783,0.0441728807462902,0.06099983046221543,0.027316129989864647,0.050525550708526185,0.06606576738581689,0.03733373806204459,0.04309804398565847,,,,G,H,18,,53.103523,-27.956482,0,23.55,0.073,0.319,0.024,0.612,0.193,0.569,0.053,-40.3,4.0,27.3,0,0,71882,1,2,0.012800828997763926
2,goodss,31,2.667,53.1038264,-27.9540187,3.839,1,0.720425221657321,0.4060885904609875,0.539943,53.10383576900185,-27.954012401569592,0.2092344860230528,0.0673095464574825,0.2128874093483555,0.31274137454724005,0.09438011184451194,0.3275418940540922,-7.711265668396521E-4,-0.002021186827045344,0.0018750903903085381,0.06906032978847364,0.022670753633494786,0.06958436423246829,0.12077679134182777,0.040902434650483065,0.11981153503701705,0.1527195810592156,0.04853371994577095,0.15627879167016698,0.16916255565049385,0.054700945060620336,0.17169241588481027,8.54255767054781E-20,1.3725533133256434E-18,-1.9306916049302478E-18,G,H,31,,53.103825,-27.954016,0,23.573,0.092,0.27,0.032,1.43,0.38,0.55,0.074,-31.7,5.1,27.29,0,1,71895,2,2,0.01069103778138416
3,goodss,31,2.667,53.1038264,-27.9540187,3.839,2,6.838421784300818,0.1004407746123745,0.539943,53.10377918230918,-27.95391239448093,0.08979143532716212,0.02706785526627076,0.09408537009133705,0.11603084185144329,0.03786216824098041,0.11725301041569432,-0.002734490872454113,-0.004312292059130226,0.002366701780014169,0.04337547850513682,0.010208986808567869,0.049749737544853435,0.07903559293808647,0.0204263478200143,0.08791386767710825,0.08883406482374859,0.026977487799220445,0.09278486553679222,0.08490774358889519,0.02209038043953838,0.09422604472403519,1.9450181791653634E-11,-1.4645961016732973E-9,2.2260694251974267E-9,G,H,31,,53.103825,-27.954016,0,23.573,0.092,0.27,0.032,1.43,0.38,0.55,0.074,-31.7,5.1,27.29,0,1,71895,2,2,0.01069103778138416
4,goodss,40,1.056,53.0882628,-27.954256,7.522,1,13.107480688522871,0.0100982125343237,1.37345,53.08802423564937,-27.9543260013419,0.14265119060770773,0.14082229280115935,0.0027433467098225794,0.15272382258430148,0.15641081144445085,-0.0055304832902240385,0.018073137451240725,0.009447989882210803,0.012937721353544887,0.03828672340773402,0.027177405204631,0.016663977304654538,0.07097865557024899,0.048588966362572435,0.03358453381151483,0.044324055782601464,0.05159874634252577,-0.010912035839886475,0.11083448714406985,0.08965508116662009,0.031769108966174645,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
5,goodss,40,1.056,53.0882628,-27.954256,7.522,2,5.926723378056377,0.0481234096399573,1.37345,53.08836389331826,-27.954226086836297,0.6297221188954907,0.3809540771128525,0.37315206267395734,0.7471181080562778,0.47829439841811816,0.40323556445723946,0.02498993211645921,0.011952843329381594,0.019555633180616424,0.07502144765736252,0.04245644503975071,0.048847503926417686,0.13034951634608155,0.07458969386736833,0.08363973371806983,0.26112145284736205,0.15498766105682532,0.15920068768580506,0.4516252688936827,0.26979333477676265,0.27274790117538017,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
6,goodss,40,1.056,53.0882628,-27.954256,7.522,3,3.104198769408944,0.05578909133153,1.37345,53.08821295388464,-27.95420938268824,0.6231578232302701,0.42104578985828917,0.3031680500579714,0.7856586150726069,0.536615837299968,0.3735641666589584,0.02192238179623835,0.020480593342742427,0.002162682680243891,0.08581004423787247,0.047847806473799076,0.05694335664611009,0.12721787475381688,0.07586181185109157,0.07703409435408799,0.2194787372395058,0.1430869913897246,0.11458761877467182,0.3726859004358275,0.24654259105110368,0.18921496407708577,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
7,goodss,40,1.056,53.0882628,-27.954256,7.522,4,11.02433898245151,0.022764433839054,1.37345,53.0880620198265,-27.954176011821463,0.15295632926642486,0.10865034295503524,0.06645897946708443,0.18076285163938205,0.11934850812770974,0.09212151526750849,0.01290050790827315,0.010998632629481449,0.002852812918187549,0.03802584372187011,0.02293932271049962,0.022629781517055744,0.04890882797906381,0.04026361817078661,0.0129678147124158,0.0661949376265919,0.05504398927092197,0.016726422533504898,0.10233910412361058,0.07319905256865306,0.04371007733243631,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
8,goodss,40,1.056,53.0882628,-27.954256,7.522,5,14.242754298238808,0.0270188963235222,1.37345,53.088420550331165,-27.954059435349464,0.18507861340502418,0.12824758351392623,0.08524654483664697,0.1867560516846671,0.14485984449613792,0.06284431078279377,0.015749859427049803,0.006348860262717618,0.014101498746498277,0.03937601842848411,0.022747740023358356,0.024942417607688637,0.05519206107821795,0.03313764018823391,0.03308163133497605,0.08828292685555648,0.06339596536233161,0.03733044223983732,0.13384712151073505,0.09700338766534322,0.055265600768087744,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
9,goodss,49,2.01,53.0906011,-27.9524238,4.831,1,7.318607278710889,0.0707577599179088,0.330353,53.09072291167595,-27.952509997611816,0.050073166246603205,0.050395213106619395,-4.8307029002427526E-4,0.07170310447748507,0.08148560364766522,-0.014673748755270217,-0.0037867606298353004,-0.009240967557930769,0.0081813103921432,0.020884715026406375,0.013149625319344535,0.011602634560592755,0.026192707659666456,0.018613092418025907,0.011369422862460822,0.03072868696778267,0.023145671847573962,0.011374522680313071,0.034852518490508196,0.02517994297243387,0.014508863277111485,,,,G,H,49,,53.090599,-27.952423,0,23.198,0.038,0.32,0.014,0.856,0.108,0.762,0.028,88.6,2.1,57.01,0,1,71913,4,2,0.007272583211518736
