Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy
0,goodss,18,2.658,53.103527,-27.9564824,4.078,1,4.36188605995159,0.2239421104123902,0.333196,53.10360891122155,-27.9565123536194,0.34198571354658225,0.1961803988842499,0.14580531466233232,0.42519901211435546,0.23818384155615438,0.1870151705582011,0.0,0.0,0.0,0.04367811331204102,0.01822143347377511,0.02545667983826591,0.2205345048126962,0.10208592723344437,0.11844857757925183,0.19821124351582067,0.09923934197554934,0.09897190154027134,0.08470919629871768,0.024763156983733256,0.05994603931498442,,,
1,goodss,18,2.658,53.103527,-27.9564824,4.078,2,6.2061300340872645,0.1209827158422797,0.333196,53.10357119485734,-27.95639568252427,0.28147266195794685,0.17274083074494243,0.10873183121300443,0.27815859430825673,0.23677501672738613,0.04138357758087058,0.0,0.0,0.0,0.03923886233642881,0.012962154389778203,0.026276707946650605,0.21897121110445156,0.0845273713751421,0.13444383972930946,0.1317486524768608,0.058997923269361686,0.0727507292074991,0.0660657673856662,0.03733373806050566,0.02873202932516054,,,
2,goodss,31,2.667,53.1038264,-27.9540187,3.839,1,0.720425221657321,0.4060885904609875,0.539943,53.10383576900185,-27.954012401569592,0.7631161842323418,0.2454901447234323,0.5176260395089096,0.8720820010863563,0.26317975010142375,0.6089022509849326,-0.00041696663626411676,-0.0010929042115464885,0.0006759375752823716,0.14990622446580343,0.04921040912182576,0.10069581534397766,0.5513913278017817,0.18673494718321162,0.36465638061857003,0.3298468021813213,0.10482409793815722,0.22502270424316406,0.16916255565099103,0.05470094506060794,0.11446161059038308,3.7631582164908764e-19,6.046356931508663e-18,-5.670041109859575e-18
3,goodss,31,2.667,53.1038264,-27.9540187,3.839,2,6.838421784300818,0.1004407746123745,0.539943,53.10377918230918,-27.95391239448093,0.3274856779383478,0.09872138584168813,0.22876429209665972,0.32355299613175326,0.1055789803722892,0.21797401575946404,-0.0014786048231421039,-0.002331759780827114,0.0008531549576850101,0.09415324596619633,0.02216019924573077,0.07199304672046557,0.36082710965760356,0.09325393497750224,0.26757317468010133,0.19186558791982006,0.05826651710092023,0.13359907081889982,0.08490774358889519,0.02209038043953838,0.06281736314935679,8.568172933711114e-11,-6.451822821810789e-09,6.5375045511479005e-09
4,goodss,40,1.056,53.0882628,-27.954256,7.522,1,13.107480688522871,0.0100982125343237,1.37345,53.08802423564937,-27.9543260013419,0.5202748090017095,0.513604486427298,0.006670322574411599,0.42587168712485995,0.4361528871349123,-0.010281200010052368,0.009772579047130523,0.005108754814126414,0.004663824233004109,0.08310730879470692,0.05899279973707323,0.024114509057633682,0.3240441702870708,0.22182684588176946,0.10221732440530132,0.09573198117840179,0.11144400318244711,-0.015712022004045322,0.11083448714395237,0.08965508116654641,0.021179405977405943,,,
5,goodss,40,1.056,53.0882628,-27.954256,7.522,2,5.926723378056377,0.0481234096399573,1.37345,53.08836389331826,-27.954226086836297,2.296710975471835,1.389408730934284,0.9073022445375508,2.0833452422536984,1.3337280258584254,0.7496172163952727,0.01351265587667834,0.006463189171746677,0.007049466704931663,0.16284576118710176,0.09215834039051682,0.07068742079658491,0.5950944059503362,0.3405299137755745,0.2545644921747617,0.5639753305045552,0.33474544667054185,0.2292298838340133,0.4516252688936827,0.26979333477676265,0.18183193411692009,,,
6,goodss,40,1.056,53.0882628,-27.954256,7.522,3,3.104198769408944,0.05578909133153,1.37345,53.08821295388464,-27.95420938268824,2.2727697965801075,1.535630491175788,0.7371393054043196,2.1908157761099947,1.4963578576155474,0.6944579184944476,0.011853957819061848,0.011074348209549265,0.000779609609512583,0.18626409390600243,0.10386113184519795,0.08240296206080448,0.5807972881301968,0.3463376092472829,0.23445967888291394,0.4740345614028442,0.30904214257376217,0.164992418829082,0.3726859004358275,0.24654259105110368,0.12614330938472385,,,
7,goodss,40,1.056,53.0882628,-27.954256,7.522,4,11.02433898245151,0.022764433839054,1.37345,53.0880620198265,-27.954176011821463,0.5578595219272952,0.3962675403419043,0.16159198158539081,0.5040587597573668,0.33280433695392564,0.17125442280344114,0.006975614146788716,0.00594722455201477,0.0010283895947739465,0.08254102871956515,0.049793380220666476,0.03274764849889866,0.22328713406693892,0.18381851048176676,0.03946862358517217,0.14296914871834793,0.11888510768781524,0.0240840410305327,0.10233910412361058,0.07319905256865306,0.029140051554957535,,,
8,goodss,40,1.056,53.0882628,-27.954256,7.522,5,14.242754298238808,0.0270188963235222,1.37345,53.088420550331165,-27.954059435349464,0.6750153281524444,0.4677422370859631,0.20727309106648134,0.5207708494053075,0.40394291688167927,0.11682793252362823,0.008516326877239105,0.0034329810717139424,0.005083345805525162,0.08547179365050347,0.04937752009661408,0.036094273553889396,0.25197244854672574,0.15128574969180164,0.10068669885492408,0.19067522912648655,0.13692387250435686,0.05375135662212967,0.13384712151106273,0.09700338766527157,0.03684373384579116,,,
9,goodss,49,2.01,53.0906011,-27.9524238,4.831,1,7.318607278710889,0.0707577599179088,0.330353,53.09072291167595,-27.952509997611816,0.18262593458846313,0.1838004979966301,-0.001174563408166959,0.1999447208630185,0.2272233035715362,-0.02727858270851768,-0.002047592327976609,-0.004996812876319239,0.00294922054834263,0.04533353356741486,0.028543314096403153,0.01679021947101171,0.11957952926752556,0.08497574433619198,0.03460378493133358,0.06636843200577482,0.049990484456929156,0.016377947548845653,0.034852518490389915,0.02517994297228283,0.009672575518107086,,,
10,goodss,49,2.01,53.0906011,-27.9524238,4.831,2,3.49814415083198,0.1732311480644989,0.330353,53.09055313119852,-27.952409958861608,0.7584284295130778,0.43178704271210616,0.3266413868009716,0.8632608224174985,0.46460203516956133,0.3986587872479372,0.003012608129513413,-0.0013814702634990068,0.0043940783930124195,0.0556311345608481,0.027841696447321946,0.027789438113526157,0.2025908705028609,0.11198746437746875,0.09060340612539215,0.11950498686092167,0.0727521761367069,0.04675281072421478,0.08290295934561774,0.04536065180880507,0.03754230753681267,,,
11,goodss,73,1.531,53.0995266,-27.9491529,4.154,1,2.415874582837445,0.2703920901023067,0.179191,53.09957262376878,-27.949161784097416,0.5356299042655132,0.23094626596515672,0.3046836383003564,0.508313512341324,0.2326704040257615,0.2756431083155626,0.0009926357113393422,-1.7082929802013876e-05,0.001009718641141356,0.06830455116624237,0.029327054494819694,0.038977496671422675,0.16579556489736919,0.06667669519881861,0.09911886969855059,0.10968700685738986,0.04477734930581962,0.06490965755157026,0.07320791150068365,0.03268380815262901,0.040524103348054646,0.7555681199629292,0.38588355664880203,0.3696845633141271
12,goodss,73,1.531,53.0995266,-27.9491529,4.154,2,9.461313333781945,0.0418609826900298,0.179191,53.09938397315413,-27.949061752988644,0.136529923748349,0.11799108394314417,0.018538839805204804,0.11152155097841243,0.11372562534251338,-0.002204074364100931,0.005361319439462197,0.0023197984969486143,0.003041520942513582,0.035072879469029754,0.012936888942085605,0.022135990526944146,0.0970798376408662,0.04342695713844938,0.05365288050241682,0.049702037535713346,0.02807108890144422,0.02163094863426913,0.023018479860895207,0.018145415290671978,0.00487306457022323,0.2393837986912572,0.13559317881144622,0.103790619879811
13,goodss,79,1.012,53.0905242,-27.9505466,10.436,1,21.21876999262681,0.0198220559206334,1.01189,53.09074226623816,-27.95086001270661,0.3992759703435664,0.39617373567710057,0.0031022346664657846,0.4037483152366163,0.3789441459200885,0.024804169316527774,-0.007513773597860271,-0.004801439119830543,-0.002712334478029729,0.04150121116616933,0.023182576249267384,0.01831863491690194,0.12789017076640383,0.09379702005338957,0.03409315071301425,0.1080698638527767,0.08574861845678051,0.02232124539599618,0.08264170265653992,0.07965807091008772,0.002983631746452198,-4.2160668065277266e-19,-7.641358507718682e-19,3.425291701190955e-19
14,goodss,79,1.012,53.0905242,-27.9505466,10.436,2,11.759090100853893,0.0515270166564611,1.01189,53.09045928834253,-27.950743281037823,1.3297116448173625,0.953972908618998,0.3757387361983645,1.1215804145192727,0.9137564963951594,0.20782391812411344,0.0021932606491285866,-0.0050411307507929855,0.007234391399921572,0.06498158439611355,0.028091874099359072,0.03688971029675448,0.29209618517168773,0.13710720839209073,0.15498897677959697,0.2817934645689715,0.16152885965127353,0.12026460491769793,0.21839116694923258,0.1392954432396088,0.07909572370962381,6.505437147490458e-19,-4.48911192328108e-19,1.0994549070771537e-18
15,goodss,79,1.012,53.0905242,-27.9505466,10.436,3,11.82016074340785,0.0815076184558353,1.01189,53.09074233507276,-27.950626680870933,2.0866891318779355,1.5406901429901163,0.5459989888878193,2.0002768276212843,1.5803258084610514,0.4199510191602328,-3.4117080388034884e-05,0.0036534353991146892,-0.003687552479502724,0.11278978177102217,0.06451231820969626,0.04827746356132591,0.47216376772063595,0.2953992182899639,0.17676454943067202,0.4685191415268006,0.30624641445226203,0.16227272707453852,0.39147886274526505,0.26700636327677624,0.12447249946848889,2.2432534467690788e-18,-1.440951821018292e-20,2.257662964979262e-18
16,goodss,79,1.012,53.0905242,-27.9505466,10.436,4,22.102402584334584,0.1039832900501668,1.01189,53.09011974374247,-27.950509869535257,0.7886255441493286,0.3804743407792193,0.4081512033701093,0.6775286635769892,0.34979073373560265,0.3277379298413865,0.023809455335716583,0.002493183929060289,0.021316271406656293,0.13359398337959993,0.030136812151062568,0.10345717122853737,0.44417059787080737,0.11606797135168578,0.32810262651912153,0.373162885254045,0.10806977196063154,0.26509311329341345,0.18508824637615082,0.05863810300156125,0.1264501433745896,-5.995055311469113e-19,-2.1537864994724343e-18,1.554280968325523e-18
17,goodss,79,1.012,53.0905242,-27.9505466,10.436,5,11.651446262159904,0.0139363615668289,1.01189,53.0906103368572,-27.950376651858647,1.188442550414639,0.9864649006322095,0.2019776497824297,1.1503615463040915,1.0249975064673151,0.12536403983677621,0.0008861886857900214,0.000270297592864686,0.0006158910929253354,0.045723121174576054,0.029721807629361104,0.016001313545214946,0.23828557995731423,0.156974884422593,0.08131069553472123,0.2357893254662603,0.1755932383644917,0.06019608710176863,0.20107724426032444,0.15494235545707621,0.04613488880324824,-4.507059978042876e-19,1.3252044743897873e-18,-1.775910472194075e-18
18,goodss,79,1.012,53.0905242,-27.9505466,10.436,6,15.429069965490468,0.063163489592419,1.01189,53.09032732550137,-27.950376585837997,2.5075959457845585,1.2593436794484358,1.2482522663361222,2.421215914189346,1.2636861828486843,1.1575297313406618,-0.0007440768096532295,-0.004247043352251148,0.0035029665425979186,0.08405356549241128,0.029461374298240157,0.05459219119417112,0.43125712283704826,0.1702098023886836,0.2610473204483646,0.4336447777199228,0.19615060947012483,0.23749416824979797,0.35808482683476833,0.17732195398448808,0.18076287285028028,-9.442460930649519e-19,7.19707673803722e-19,-1.6639537668686738e-18
19,goodss,79,1.012,53.0905242,-27.9505466,10.436,7,14.04051993339278,0.0180066775534122,1.01189,53.09049714717787,-27.950326625839157,1.3434718796076743,0.9611648474305837,0.3823070321770905,1.267504642085103,0.9529109846869497,0.3145936573981535,-0.0018759518533775067,-0.0038213810631057194,0.001945429209728213,0.03882568296185006,0.02110682524375339,0.01771885771809667,0.21728150659093226,0.1278407013104436,0.08944080528048867,0.2167159467468617,0.14550945041909621,0.07120649632776548,0.20277861726270235,0.13927481688618032,0.06350380037652201,-1.7697566983570867e-18,1.3527970026417667e-18,-3.1225537009988534e-18
20,goodss,79,1.012,53.0905242,-27.9505466,10.436,8,27.48556348339979,0.0135007209210265,1.01189,53.09096883743795,-27.95031006841265,0.0736600582643201,0.05681457519431521,0.01684548307000489,0.08386926127351325,0.045040039129325554,0.0388292221441877,-0.0016401871579935492,-0.0029126399815488685,0.0012724528235553197,0.020523762148205914,0.009039412657663178,0.011484349490542736,0.015735474508619555,0.008306537602125668,0.0074289369064938875,0.009599354414686682,0.013787301775765435,-0.004187947361078752,0.0032002032689507865,0.010607070270584993,-0.0074068670016342085,2.2246646478566703e-18,-5.181449069324571e-19,2.7428095547891275e-18
21,goodss,107,0.616,53.085105,-27.9483683,9.569,1,10.137653204760952,0.0703922263763854,0.9056698371912716,53.085063964709065,-27.94852523544062,1.711604423830718,1.4483616231617615,0.26324280066895644,1.5438444280509411,1.4216213314286616,0.12222309662227958,0.023604533075079245,0.005026167646474231,0.018578365428605016,0.15040908804266795,0.07365752766833372,0.07675156037433423,0.6818911920770041,0.4565423215554559,0.22534887052154823,0.002983234124302029,0.00273084582114981,0.000252388303152219,0.33170894108045706,0.27870047739776527,0.05300846368269182,,,
22,goodss,107,0.616,53.085105,-27.9483683,9.569,2,10.26606119697326,0.0405885538295082,0.9056698371912716,53.0852715891211,-27.948275293420185,1.2068016001808834,1.01100048665424,0.19580111352664334,1.0804568409812945,0.9153116825454374,0.16514515843585714,0.01862168224881008,0.006906051336863262,0.011715630911946818,0.18391703849167532,0.09764767798035681,0.0862693605113185,0.5943923099206279,0.41367589876122224,0.18071641115940562,0.006485368570728848,0.007735004362311859,-0.0012496357915830105,0.28998979042023254,0.21744362194588904,0.0725461684743435,,,
23,goodss,107,0.616,53.085105,-27.9483683,9.569,3,19.077657416464945,0.0415346856345577,0.9056698371912716,53.085101866609605,-27.94804191550136,0.5741438956749976,0.4106354878202946,0.16350840785470305,0.5073290306310992,0.36324324556312976,0.14408578506796943,0.013718055613019512,0.0024240414559039,0.011294014157115614,0.084614870178211,0.043325813333198876,0.04128905684501211,0.30556579343892243,0.1763803021134064,0.12918549132551604,-0.00019865642800507373,1.144676482115849e-05,-0.0002101031928262322,0.12130702173285049,0.07872986639034081,0.04257715534250967,,,
24,goodss,133,2.9778,53.0766423,-27.9443896,3.194,1,1.4143726524505484,0.5679185706812564,0.302889,53.07661324777839,-27.94440606310184,0.41030989660512085,0.09538203138049975,0.3149278652246211,0.4424091223829661,0.10129855265669829,0.3411105697262678,,,,,,,0.40957307884069105,0.13175657580370453,0.2778165030369865,,,,0.11406401776396129,0.028054160583089446,0.08600985718087183,,,
25,goodss,135,2.812,53.1422875,-27.9444707,3.654,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,
26,goodss,137,0.688,53.0862728,-27.94509,6.47,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,
27,goodss,139,2.913,53.076426,-27.943962,3.212,1,1.3717871555019006,0.8273549660508928,0.19325,53.07642477610044,-27.94395600279009,0.30596447634930485,0.05590084707327457,0.25006362927603026,0.4874445759906397,0.0777383523057641,0.4097062236848755,,,,,,,0.3339282240596904,0.07447567863812121,0.2594525454215692,,,,0.05949352382012397,0.01586112194088135,0.04363240187924262,,,
28,goodss,145,2.552,53.0803223,-27.9436714,3.901,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,
